id,name_en,bbx,caption_cn,caption_en,class_cn,class_en,retrieval_class_cn,retrieval_class_en,picture,scaling_strategy,inner_placement,portfolio_assets,source,author_name,author_link,license,state,alignToWallNormal
34,0_chinese_stool_2k_packed,"0.599,0.506,0.631","深棕色方形木凳,带镂空回纹装饰围板",A dark brown wooden stool with square seat and decorative lattice apron,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,https://polyhaven.com/a/chinese_stool,Kirill Sannikov,https://polyhaven.com/all?a=Kirill%20Sannikov,CC BY-NC-SA 4.0,,
241,0_SM_Stool_Fir001,"0.789,0.334,0.495",深青绿色绒面扣点软垫长凳配香槟金雕花腿,Tufted teal velvet bench with ornate champagne gold carved legs,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,商品下架，但作者已同意,CityColor（黄烨）,CityColor（黄烨）,CC BY-NC-SA 4.0,,
243,0_SM_Stool002,"0.603,0.402,0.449",灰色曲面防滑纹理矮凳，宽板腿设计,A gray curved-top stool with textured non-slip surface and wide panel legs,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,商品下架，但作者已同意,CityColor（黄烨）,CityColor（黄烨）,CC BY-NC-SA 4.0,,
283,0_wooden_stool_02_2k_packed,"1.134,0.706,0.800","深褐色做旧木质矮凳,四腿外撇结构",Rustic wooden stool with weathered dark brown finish and four sturdy splayed legs,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,https://polyhaven.com/a/wooden_stool_02,Kuutti Siitonen,https://polyhaven.com/all?a=Kuutti%20Siitonen,CC BY-NC-SA 4.0,,
431,17_SM_Bed_Ottoman,"0.765,0.766,0.388",带米色软垫和金属腿的现代灰色矮凳,A modern gray ottoman with beige cushion on metal legs,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/96c7bdc7-7b70-4493-8996-afe8930591c1,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,
748,43_dentalchair01,"0.464,0.410,0.504",米色圆形软垫凳配镀铬三脚支架,A beige drum-style padded stool with chrome tripod base,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,RADIAL,0,0.0,https://www.fab.com/zh-cn/listings/ea1058b0-0a6e-4bff-a206-583c8f18b89f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
997,7_SM_Chair_01,"0.458,0.451,0.709",工业风灰色金属可调节高度带轮三角底座圆凳,Industrial gray metal adjustable stool with wheels and triangular base,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,RADIAL,0,0.0,https://www.fab.com/zh-cn/listings/d4cfc535-bc2c-4a5e-aa0d-d3649f1e5f4f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1028,8_Sm_drum_kit_chair,"0.410,0.464,0.504",带镀铬三脚架的黑色圆形鼓凳,A black cushioned drum throne with chrome tripod stand,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,RADIAL,0,0.0,https://www.fab.com/zh-cn/listings/ea1058b0-0a6e-4bff-a206-583c8f18b89f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1499,a_SM_Indoor_Props_01f,"1.357,0.923,1.091",深棕色A字形斜腿木质长凳,Dark brown wooden bench with angled A-frame legs,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/listings/77e58b77-87a8-4c97-97dc-de5d0c14d758,Dekogon Studios,https://www.fab.com/zh-cn/sellers/Dekogon%20Studios,CC BY-NC-SA 4.0,,
1572,a_SM_Ottoman,"0.579,0.577,0.400",带竖向缝线细节的圆形灰色布艺矮凳,Round gray fabric ottoman with vertical seam detail,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,RADIAL,0,0.0,https://www.fab.com/listings/6c2fd1c6-248f-4d98-b55d-70cc19b298a7,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,
1697,a_SM_SofaTable_02,"0.621,0.481,0.461",深色木质矮凳，黑色软垫座面，车削腿设计,Dark wood low stool with black cushion top and turned legs,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
1895,b_40,"0.670,0.392,0.282",带交叉金属腿的灰色软垫脚凳,Gray cushioned footstool with crossed metal legs,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,3D Future Dataset,3D Future Dataset,https://tianchi.aliyun.com/dataset/98063,CC BY-NC-SA 4.0,,
1926,b_77,"0.892,0.500,0.334",米色布艺长方形簇绒软垫脚凳带褶皱裙边,Rectangular tufted ottoman with pleated ruffle skirt in beige fabric,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,3D Future Dataset,3D Future Dataset,https://tianchi.aliyun.com/dataset/98063,CC BY-NC-SA 4.0,,
1942,b_92,"0.472,0.473,0.531",深棕色雕花木腿灰色软垫方凳,Dark brown carved wooden stool with gray cushioned seat,矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,ALIGNED_ANISOTROPIC,0,0.0,3D Future Dataset,3D Future Dataset,https://tianchi.aliyun.com/dataset/98063,CC BY-NC-SA 4.0,,
2036,e_sm_chair2,"0.319,0.318,0.518",工业风格可调节高脚凳，圆形木质座面，灰色金属底座，三条木腿,"Industrial-style adjustable stool with round wooden seat, gray metal base, and three wooden legs",矮凳,Low_stool,凳椅沙发,Stool_chair_or_sofa,,RADIAL,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
147,0_SM_Blinds_2,"1.638,0.094,1.744",带拉绳和安装轨道的棕色木质横向百叶窗帘,Brown wooden horizontal slat blinds with pull cord and mounting rail,百叶窗,Window_blind,百叶窗,Wooden_venetian_blind,,SORTED_ANISOTROPIC,0,1.0,ue fab:https://www.fab.com/zh-cn/listings/c06d2cad-0d69-4b0d-8f54-b670f7ab2b6c,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,1.0
148,0_SM_Blinds_3,"1.638,0.094,2.044",带双拉绳和顶盒的木质横条百叶窗帘,Wooden horizontal slat blinds with dual pull cords and valance,百叶窗,Window_blind,百叶窗,Wooden_venetian_blind,,SORTED_ANISOTROPIC,0,1.0,ue fab:https://www.fab.com/zh-cn/listings/c06d2cad-0d69-4b0d-8f54-b670f7ab2b6c,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,1.0
432,17_SM_Blinds_2,"1.358,0.082,1.488",米色蜂窝百褶帘配白色边框和拉绳,Beige pleated honeycomb cellular shades with white frame and pull cords,百叶窗,Window_blind,百叶窗,Wooden_venetian_blind,,SORTED_ANISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/96c7bdc7-7b70-4493-8996-afe8930591c1,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,1.0
433,17_SM_Blinds_3,"1.358,0.082,1.666",米色蜂窝百褶帘配白色顶轨和侧拉绳,Beige pleated cellular shade with white mounting rail and side pull cords,百叶窗,Window_blind,百叶窗,Wooden_venetian_blind,,SORTED_ANISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/96c7bdc7-7b70-4493-8996-afe8930591c1,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,1.0
1791,a_SM_windows_shutter_03,"3.167,0.099,1.905",带垂直支撑柱的灰色横条百叶窗,Gray horizontal slat window blind with vertical support posts,百叶窗,Window_blind,百叶窗,Wooden_venetian_blind,,SORTED_ANISOTROPIC,0,0.0,https://www.fab.com/listings/0c106ab4-e1cd-40c2-8731-b7940e52b4b6,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,1.0
726,4_SM_LinenTrolley01,"0.579,1.073,0.846",带四个万向轮的灰色金属网篮手推车,A gray metal wire basket hand truck with four caster wheels,搬运车,Hand_truck,搬运车,Hand_truck,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/ebd68b4f-8f73-4d09-91d9-b334569f58c3,SilverTm,https://www.fab.com/zh-cn/sellers/SilverTm,CC BY-NC-SA 4.0,,
1150,a_PalletJack,"1.386,0.542,1.165","棕色金属托盘搬运车,配黑色手柄和轮子",A brown metal pallet jack with black handle and wheels,搬运车,Hand_truck,搬运车,Hand_truck,,ISOTROPIC,0,1.0,"https://www.fab.com/listings/c3148cbb-4b57-4f09-a749-636bc0fe2da2

https://www.fab.com/listings/82e8f9af-843d-46c4-ae16-c6aee0ed4eaa

https://www.fab.com/listings/f3b2aa27-c8be-4987-b8a2-81adf0fe85a8

https://www.fab.com/listings/b5603e44-e1b0-4346-9c3d-04887aa9f87d",SilverTm,https://www.fab.com/zh-cn/sellers/SilverTm,CC BY-NC-SA 4.0,,
51,0_Elegant_chair,"1.175,1.230,1.254",黑色真皮深木色外壳旋转休闲椅,Black leather lounge chair with dark wood shell and swivel base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/f7a6e726-d9ab-4fad-843f-d28b622b78d0,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,
92,0_Office_leather_chair,"1.100,1.173,1.387",棕色皮质高背办公椅带软垫扶手和镀铬底座,Brown leather executive office chair with padded armrests and chrome base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/f7a6e726-d9ab-4fad-843f-d28b622b78d0,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,
218,0_SM_Modern_Office_chair,"0.621,0.644,1.022",棕色布艺办公椅配灰色扶手和白色轮式底座,Brown fabric office chair with gray armrests and white wheeled base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/baece383-bc75-4de8-971d-25110a169a36,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,
404,15_SM_Chair_1,"0.691,0.718,1.206","灰色高靠背办公椅,带方格绗缝软垫和五轮底座",A gray high-back office chair with quilted upholstery and five-wheel base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/7d0ba3e2-b243-4ec9-bbe3-a3059dc3bc37,NextLevel3D,https://www.fab.com/zh-cn/sellers/Next%20Level%203D,CC BY-NC-SA 4.0,,
533,21_SM_Office_Chair_01a,"0.608,0.633,0.885",带扶手和五轮底座的灰色办公转椅,A gray office swivel chair with armrests and five-wheel base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/c657df25-2ce6-4a62-a147-58778e3085ac,Dekogon Studios,https://www.fab.com/zh-cn/sellers/Dekogon%20Studios,CC BY-NC-SA 4.0,,
634,24_SM_Chair_Table_Set_66b,"0.783,0.836,1.154",深灰色横纹皮革办公椅配镀铬旋转底座,Dark gray ribbed leather office chair with chrome swivel base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/6710caaf-1375-4a96-a4b3-a696224f17df,Dekogon Studios,https://www.fab.com/zh-cn/sellers/Dekogon%20Studios,CC BY-NC-SA 4.0,,
